,mol,atom,x,y,z,aop
0,1ICE,OW,4.15202,0.400001,2.26499,0.9913681949601744
4,2ICE,OW,2.27405,1.45301,1.83298,2.7154331792702546
8,3ICE,OW,4.137,2.11901,0.828013,0.0
12,4ICE,OW,4.90004,2.34505,1.209,4.888127534368351
16,5ICE,OW,2.13502,0.292004,2.23498,5.357621125838965
20,6ICE,OW,4.08593,1.80999,0.468982,2.6618600930557226
24,7ICE,OW,1.02404,1.294,2.21906,9.401195366259278
28,8ICE,OW,3.19801,1.13797,1.46496,0.4923547446434261
32,9ICE,OW,1.11904,0.908012,0.751024,1.322867122523622
36,10ICE,OW,3.18094,0.0509936,2.28399,10.289955365513004
40,11ICE,OW,0.887953,1.10897,1.63601,0.9415950483734192
44,12ICE,OW,3.94898,0.119015,1.866,0.056399960301066004
48,13ICE,OW,4.66099,1.75397,1.46002,0.3137031653739315
52,14ICE,OW,1.05701,1.1,1.077,5.579540532019985
56,15ICE,OW,4.02498,1.59503,0.845957,1.045378467971966
60,16ICE,OW,1.85101,0.433021,0.523982,0.6752571396842499
64,17ICE,OW,2.49496,0.492033,2.19299,0.0
68,18ICE,OW,2.66398,1.39794,1.26199,3.2684752798293393
72,19ICE,OW,0.300953,0.00401843,0.106987,1.9320629325073746
76,20ICE,OW,3.49201,1.59704,0.49401,1.814384795099405
80,21ICE,OW,2.12696,2.34499,2.31304,7.591261422180804
84,22ICE,OW,2.16199,2.107,1.56699,0.5147067025496596
88,23ICE,OW,3.22497,0.320059,0.546993,2.9020193185853644
92,24ICE,OW,3.389,0.305012,0.317973,3.4020589331200393
96,25ICE,OW,2.60901,0.85401,1.62,0.46899467969949904
100,26ICE,OW,4.77696,0.208036,0.87802,4.218959329144777
104,27ICE,OW,1.79097,1.40704,1.37405,3.759264960216609
108,28ICE,OW,4.301,0.771043,0.192025,0.023019387620764383
112,29ICE,OW,3.344,0.86102,0.982992,6.017948957731193
116,30ICE,OW,0.817032,0.265985,0.938025,4.638325139004936
120,31ICE,OW,2.16798,0.865001,0.930983,4.0509972372472
124,32ICE,OW,4.68399,0.0400782,1.05296,9.786785139770727
128,33ICE,OW,1.52899,1.945,1.66601,1.137393767493128
132,34ICE,OW,2.207,1.92901,1.91301,1.4180670460749167
136,35ICE,OW,3.97898,1.25603,0.719993,0.27727381754990166
140,36ICE,OW,2.03399,1.96499,1.26898,0.3614148923320165
144,37ICE,OW,3.24501,1.469,2.24998,8.562716418956288
148,38ICE,OW,3.93098,2.05298,1.64302,0.9383267140176258
152,39ICE,OW,0.764999,0.0329926,1.61602,1.1190865123242415
156,40ICE,OW,4.55597,1.36597,0.491028,2.8515712915234235
160,41ICE,OW,2.74394,0.122955,1.313,3.1788745515235233
164,42ICE,OW,1.69998,0.173941,1.33199,3.753768742660477
168,43ICE,OW,0.880044,0.223025,1.212,8.506805050958855
172,44ICE,OW,4.02603,1.96503,1.92492,1.8387379327161746
176,45ICE,OW,3.34501,1.17403,0.909961,13.105332782099676
180,46ICE,OW,1.441,1.35497,1.93295,1.856472500826471
