,mol,atom,x,y,z
4,2ICE,OW,0.3700000047683716,0.004000000189989805,0.13500000536441803
8,3ICE,OW,-0.004999999888241291,0.30000001192092896,0.6050000190734863
16,5ICE,OW,0.21799999475479126,0.22100000083446503,0.22599999606609344
20,6ICE,OW,0.004999999888241291,0.8999999761581421,0.6050000190734863
24,7ICE,OW,0.21799999475479126,0.9869999885559082,0.22100000083446503
28,8ICE,OW,0.6039999723434448,0.9750000238418579,0.4569999873638153
40,11ICE,OW,0.3790000081062317,0.3869999945163727,0.38199999928474426
44,12ICE,OW,0.22499999403953552,0.4569999873638153,0.6039999723434448
48,13ICE,OW,0.38199999928474426,0.8259999752044678,0.3790000081062317
52,14ICE,OW,0.38199999928474426,0.37400001287460327,0.8209999799728394
60,16ICE,OW,0.6000000238418579,0.23399999737739563,0.4580000042915344
68,18ICE,OW,0.6000000238418579,0.9779999852180481,0.7369999885559082
76,20ICE,OW,0.375,-0.004000000189989805,1.0570000410079956
80,21ICE,OW,0.6039999723434448,0.23000000417232513,0.7350000143051147
84,22ICE,OW,0.38199999928474426,0.8209999799728394,0.8140000104904175
96,25ICE,OW,0.0,0.13699999451637268,0.3779999911785126
112,29ICE,OW,0.0,1.0579999685287476,0.8339999914169312
120,31ICE,OW,0.5960000157356262,0.004999999888241291,0.30000001192092896
124,32ICE,OW,-0.004000000189989805,0.13500000536441803,0.8299999833106995
128,33ICE,OW,0.23000000417232513,0.7350000143051147,0.5960000157356262
140,36ICE,OW,0.21799999475479126,0.21299999952316284,0.9800000190734863
144,37ICE,OW,-0.004000000189989805,1.0570000410079956,0.375
168,43ICE,OW,0.22100000083446503,0.9750000238418579,0.9819999933242798
172,44ICE,OW,0.6050000190734863,0.004999999888241291,0.8999999761581421
